Title,Instruction,Yields,Preparation_min,Cooking_min,Meal_type,Cuisine,Energy_kj_portion,Energy_kcal_portion,Carbohydrate_g_portion,Protein_g_portion,Fat_g_portion,Fibre_g_portion,Sodium_mg_portion,Iron_mg_portion,B12_microg_portion,Iron_%rda_be_0-5m/f,Iron_%rda_be_6-9m/f,Iron_%rda_be_10-13m/f,Iron_%rda_be_14-60f,Iron_%rda_be_14-17m,Iron_%rda_be_18+m,Iron_%rda_be_60+f,Iron_%rda_uk_1-3m/f,Iron_%rda_uk_4-6m/f,Iron_%rda_uk_7-10m/f,Iron_%rda_uk_11-18m,Iron_%rda_uk_19-50m,Iron_%rda_uk_11-50f,Iron_%rda_uk_51+m/f,Iron_bioav%
"Shaved fennel, herb and tomato salad","Place all of the ingredients into a large salad bowl and stir.
To serve, place onto a serving dish.",1,30,0,Main,European,1001.192,242.928,2.742,1.038,25.4493,0.5265,795.34,1.18335,0,14.791875,13.14833333,10.75772727,7.889,10.75772727,13.14833333,13.14833333,17.15,19.39918033,13.60172414,10.47212389,13.60172414,7.995608108,13.60172414,28.95332647
Smoked garlic soup with parsley pesto,"For the smoked garlic soup, place the potato, garlic cloves and hot stock into a pan and bring to the boil. Season with salt and freshly ground black pepper, reduce the heat and simmer for 10-12 minutes, or until the potatoes are tender. Blend with a hand blender until smooth.
For the parsley pesto, place all the parsley pesto ingredients into a small food processor and blend until smooth.
To serve, pour the soup into a bowl, swirl in a spoonful of the parsley pesto and garnish with the chives.",1,30,30,Main,European,2512.812,599.928,76.619,14.434,29.3788,6.807,2450.62,4.026,0,50.325,44.73333333,36.6,26.84,36.6,44.73333333,44.73333333,58.34782609,66,46.27586207,35.62831858,46.27586207,27.2027027,46.27586207,15.70117666
Spicy beans on toast,"Rub the bread with the olive oil and season with salt and pepper. Heat a frying pan until smoking and chargrill the bread for 1 minute on each side until crisp and golden-brown. Rub the clove of garlic on both sides of each toasted ciabatta slice and set aside in a warm place.
For the spicy beans and spinach, heat the oil in a frying pan over a high heat. Add the chilli flakes, onion and garlic and fry until softened.
Add the spinach and beans and cook until the spinach has wilted and the beans are warmed through. Drain out any excess moisture and season with salt and pepper.
Put the toast on a plate, spoon over the beans and spinach mixture, then sprinkle over the parsley and serve.",1,30,30,Main,European,3636.508,868.277,95.789,25.552,46.1822,11.1615,1687.535,7.03525,0,87.940625,78.16944444,63.95681818,46.90166667,63.95681818,78.16944444,78.16944444,101.9601449,115.3319672,80.86494253,62.25884956,80.86494253,47.53547297,80.86494253,4.798955278
Spinach palmiers with pesto,"Preheat the oven 200C/400F/Gas 6.
Place the herbs, garlic and oil into a food processor and blend to a smooth liquid. Pour out onto the pastry and spread evenly.
Place the wilted spinach onto the pastry.
Roll up the pastry from both ends so that they meet in the middle. Pinch the ends lightly to seal the pastry roll.
Slice the rolled pastry into 1cm/½in thick slices and place onto a baking sheet. Place into the oven to bake for 10-15 minutes, until golden and cooked through.
Remove from the oven, allow to cool slightly and serve.",2,30,15,Main,European,1074.998,258.787,17.84,3.635,19.6537,1.4,198.475,1.5852,0,19.815,17.61333333,14.41090909,10.568,14.41090909,17.61333333,17.61333333,22.97391304,25.98688525,18.22068966,14.02831858,18.22068966,10.71081081,18.22068966,19.01697189
Stir-fried beansprouts with peppers and herbs,"Heat the olive oil in a wok or large frying pan, add the onion and red pepper and stir fry for 3-4 minutes until softened.
Add the garlic and cook for one minute, then add the beansprouts and cook for a further minute.
Add the herbs, season well with salt and freshly ground black pepper and stir.
To serve, place into a serving dish.",1,30,10,Main,European,765.27,184.066,10.6718,5.6216,13.5687,1.5565,797.192,3.39515,0,42.439375,37.72388889,30.865,22.63433333,30.865,37.72388889,37.72388889,49.20507246,55.65819672,39.02471264,30.04557522,39.02471264,22.9402027,39.02471264,30.84285223
Tomato and asparagus salad with caper vinaigrette,"Bring a saucepan of water to the boil. Lower the asparagus into the boiling water to boil for 2-3 minutes, then immerse in a bowl of cold water for one minute. Drain.
Place the balsamic vinegar and olive oil in a bowl and whish together. Season with salt and freshly ground black pepper, then add the capers.
To serve, place the asparagus and tomatoes together into a serving bowl, pour over the vinaigrette and sprinkle over herbs.",1,30,10,Main,European,1172.924,283.99,6.9266,4.1136,26.6141,1.6265,859.948,2.02695,0,25.336875,22.52166667,18.42681818,13.513,18.42681818,22.52166667,22.52166667,29.37608696,33.22868852,23.29827586,17.93761062,23.29827586,13.69560811,23.29827586,29.06758235
Tomato and squash pizza,"Preheat the oven to 230C/450F/Gas 8.
For the pizza dough, place the flour, salt and olive oil into a large bowl and mix well. Add enough warm water to make a soft but not sticky dough.
Turn the dough out onto a lightly floured surface and knead briefly. Roll the dough out to make a circle 0.5cm/¼in thick and place onto a non-stick baking sheet.
For the tomato sauce, place all the sauce ingredients into a bowl, season with salt and freshly ground black pepper and mix well. Spread the sauce evenly over the dough circle, leaving a thin border around the edge.
For the topping, heat the olive oil in a frying pan and cook the butternut squash pieces, garlic and thyme for 5-6 minutes, or until just tender. Season with salt and freshly ground black pepper, then sprinkle the topping over the pizza base.
Transfer the pizza to the oven and bake for 10-12 minutes, or until the base is crisp and cooked through.
To serve, place the pizza onto a serving plate.",2,30,30,Main,European,1670.144,397.886,51.3025,6.7645,20.4051,4.6265,993.925,4.5009,0,56.26125,50.01,40.91727273,30.006,40.91727273,50.01,50.01,65.23043478,73.7852459,51.73448276,39.83097345,51.73448276,30.41148649,51.73448276,13.79809248
"Tomato, cucumber and herb salad","Mix all the ingredients together in a large bowl and season, to taste, with salt and freshly ground black pepper. Serve immediately.",1,30,10,Main,European,1329.65,321.05,7.665,3.2495,31.124,2.1265,799.65,2.75655,0,34.456875,30.62833333,25.05954545,18.377,25.05954545,30.62833333,30.62833333,39.95,45.18934426,31.68448276,24.39424779,31.68448276,18.62533784,31.68448276,27.58045475
Vegan pesto,"Put all the pesto ingredients in a food processor and blend until it forms a vibrant green paste with a little crunch.
Adjust the seasoning to taste. Use immediately or store in the fridge for up to a week.",4,30,0,Side,European,743.51375,180.5425,0.771875,1.799475,18.932575,0.893825,248.1675,0.7348025,0,9.18503125,8.164472222,6.680022727,4.898683333,6.680022727,8.164472222,8.164472222,10.64931159,12.04594262,8.446005747,6.502676991,8.446005747,4.964881757,8.446005747,7.388357131
Vegetable paella,"Heat the oil in a large non-stick frying pan, or shallow flameproof casserole, and gently fry the onion for 8-10 minutes, or until very soft and lightly browned, stirring occasionally. Add the leeks and garlic and cook for 2 minutes more, stirring constantly.
Stir in the rice and cook for a few seconds before adding the paprika, saffron and bay leaves. Stir for a few seconds more then add the sherry (or white wine) and bring to a simmer.
Add the vegetable stock, stir well and cook the rice gently for 10 minutes, stirring occasionally. (If the rice is looking dry during cooking, add some water.)
Add the artichokes, peppers and olives, stir well then reduce the heat to very low and cook, without stirring, for a further 15 minutes, or until most of the liquid has been absorbed. If the rice is not quite tender enough, cover the pan with a lid and cook for 5 minutes more.
Garnish with fresh parsley and serve with lemon wedges.",4,30,60,Main,European,1111.91,263.795,40.34635,7.388675,9.135775,4.650675,1048.859,2.50063,0,31.257875,27.78477778,22.733,16.67086667,22.733,27.78477778,27.78477778,36.24101449,40.99393443,28.74287356,22.12946903,28.74287356,16.89614865,28.74287356,13.54239284
Versatile vegetable stew,"Heat a large frying pan or saucepan until medium hot, add the olive oil, onion and leeks and cook gently for 5 minutes until just softened.
Add the carrots, garlic, paprika and thyme and stir to combine. Cook for 5 minutes.
Add the potatoes and vegetable stock and bring to the boil. Turn the heat down and simmer for 5 minutes until the potatoes are just softening then add the cauliflower and simmer for another 5 minutes.
By now, all the vegetables should be nearly cooked. Add the green beans and baked beans and cook for 3 minutes then stir in the chopped parsley and season well with salt and pepper.
Serve with plenty of crusty bread.",8,30,30,Main,European,726.309,171.16975,32.43865,7.1881625,2.878925,7.45665,694.18525,2.42384625,0,30.29807813,26.931625,22.03496591,16.158975,22.03496591,26.931625,26.931625,35.12820652,39.73518443,27.86030172,21.44996681,27.86030172,16.37733953,27.86030172,8.320684708
Vinaigrette potatoes with herbs,"Place all the ingredients except the potato into a large bowl and mix well.
Add the potato cubes to the bowl while still warm and stir well to coat with the dressing. Leave to marinate for ten minutes.
To serve, transfer to a serving dish.",1,30,0,Main,European,2194.532,527.832,40.591,6.0366,38.9741,3.7945,1092.884,3.29695,0,41.211875,36.63277778,29.97227273,21.97966667,29.97227273,36.63277778,36.63277778,47.78188406,54.04836066,37.89597701,29.17654867,37.89597701,22.27668919,37.89597701,14.5883429
"Warm beetroot, green bean, potato and almond salad","Cook the potato slices in a saucepan of boiling water for 5-7 minutes, or until tender. Drain.
Blanch the beans for 3-4 minutes, then drain.
Combine the blanched potatoes and beans and all the remaining ingredients in a bowl and stir well. Serve warm.",1,30,30,Main,European,3421.958,824.256,45.2112,16.9246,64.8819,11.3865,814.382,5.66095,0,70.761875,62.89944444,51.46318182,37.73966667,51.46318182,62.89944444,62.89944444,82.04275362,92.80245902,65.0683908,50.09690265,65.0683908,38.24966216,65.0683908,3.020091131
Wild mushrooms on crostini (funghi trifolati),"Soak the dried mushrooms in hot water for at least one hour.
In a large frying pan heat the olive oil and saute the garlic for 2 minutes.
Add the sliced mushrooms and saute for 3 to 4 minutes.
Add the dried mushrooms and some of the water, strained through kitchen paper, in which the mushrooms have been soaking.
Cover and simmer for about 10 minutes or until the volume of liquid has reduced.
Sprinkle with the chopped parsley and serve warm.
Or, add some cream or marscapone to make a creamy sauce for pasta and top with parmesan and butter.
To serve with crostini, slice the baguette on the diagonal and dry it out in the oven, but do not colour it.",2,60,20,Main,European,3908.95,929.8625,130.2975,23.571,38.5645,8.23825,1214.35,7.132275,0,89.1534375,79.2475,64.83886364,47.5485,64.83886364,79.2475,79.2475,103.3663043,116.922541,81.98017241,63.11747788,81.98017241,48.1910473,81.98017241,7.376088386
